allK,k_mse
1,159033182.49103767
21,159627282.92216522
41,160382635.8563443
61,160835611.96394116
81,161264810.1063046
101,161463293.88368407
121,161729253.57918286
141,162010251.8925071
161,162217877.58839005
181,162395071.26881242
201,162703732.8236356
221,162898852.0391778
241,162946619.91214702
261,163079753.12782153
281,163123123.56278285
301,163276812.81164178
321,163329303.19152126
341,163384901.74483
361,163430167.06705397
381,163552830.2964147
401,163615175.23977363
421,163636253.42046106
441,163657919.64607942
461,163699405.0221747
481,163744670.14755276
